NAME;ATOMIC_WEIGHT;ATOMIC_NUMBER;OXIDATION_STATES;BOILING_POINT/_UNITS;BOILING_POINT/__text;SYMBOL;DENSITY/_UNITS;DENSITY/__text;ELECTRON_CONFIGURATION;ELECTRONEGATIVITY;ATOMIC_RADIUS/_UNITS;ATOMIC_RADIUS/__text;ATOMIC_VOLUME/_UNITS;ATOMIC_VOLUME/__text;SPECIFIC_HEAT_CAPACITY/_UNITS;SPECIFIC_HEAT_CAPACITY/__text;IONIZATION_POTENTIAL;THERMAL_CONDUCTIVITY/_UNITS;THERMAL_CONDUCTIVITY/__text;MELTING_POINT/_UNITS;MELTING_POINT/__text;COVALENT_RADIUS/_UNITS;COVALENT_RADIUS/__text;HEAT_OF_VAPORIZATION/_UNITS;HEAT_OF_VAPORIZATION/__text;HEAT_OF_FUSION/_UNITS;HEAT_OF_FUSION/__text;_STATE
Rhenium;186.207;75;7, 6, 4, 2, -1;Kelvin;5870;Re;grams/cubic centimeter;21;[Xe] 4f14 5d5 6s2;1.9;Angstroms;1.37;cubic centimeters/mole;8.85;Joules/gram/degree Kelvin;0.137;7.88;Watts/meter/degree Kelvin;47.9;Kelvin;3455;Angstroms;1.28;kilojoules/mole;707.1;kilojoules/mole;33.05;
Rutherfordium;261;104;;;;Rf;;;[Rn] 5f14 6d2 7s2;;;;;;;;;;;;;;;;;;;
Rhodium;102.9055;45;2, 3, 4;Kelvin;3970;Rh;grams/cubic centimeter;12.41;[Kr] 4d8 5s1;2.28;Angstroms;1.34;cubic centimeters/mole;8.3;Joules/gram/degree Kelvin;0.242;7.46;Watts/meter/degree Kelvin;150;Kelvin;2236;Angstroms;1.25;kilojoules/mole;495.39;kilojoules/mole;21.76;
Radon;222;86;;Kelvin;211.4;Rn;grams/cubic centimeter;9.73;[Xe] 4f14 5d10 6s2 p6;0;Angstroms;1.34;cubic centimeters/mole;50.5;Joules/gram/degree Kelvin;0.094;10.748;Watts/meter/degree Kelvin;0.00364;Kelvin;202;;;kilojoules/mole;16.4;kilojoules/mole;2.9;
Ruthenium;101.07;44;2, 3, 4, 6, 8;Kelvin;4425;Ru;grams/cubic centimeter;12.37;[Kr] 4d7 5s1;2.2;Angstroms;1.34;cubic centimeters/mole;8.3;Joules/gram/degree Kelvin;0.238;7.37;Watts/meter/degree Kelvin;117;Kelvin;2610;Angstroms;1.25;kilojoules/mole;567.77;kilojoules/mole;25.52;
Sulfur;32.066;16;+/-2, 4, 6;Kelvin;717.82;S;grams/cubic centimeter;2.07;[Ne] 3s2 p4;2.58;Angstroms;1.27;cubic centimeters/mole;15.5;Joules/gram/degree Kelvin;0.71;10.36;Watts/meter/degree Kelvin;0.269;Kelvin;392.2;Angstroms;1.02;kilojoules/mole;10;kilojoules/mole;1.73;
Silver;107.868;47;1;Kelvin;2436;Ag;grams/cubic centimeter;10.5;[Kr] 4d10 5s1;1.93;Angstroms;1.44;cubic centimeters/mole;10.3;Joules/gram/degree Kelvin;0.232;7.576;Watts/meter/degree Kelvin;429;Kelvin;1235.08;Angstroms;1.34;kilojoules/mole;250.63;kilojoules/mole;11.3;
Scandium;44.9559;21;3;Kelvin;3109;Sc;grams/cubic centimeter;2.99;[Ar] 3d1 4s2;1.36;Angstroms;1.62;cubic centimeters/mole;15;Joules/gram/degree Kelvin;0.568;6.54;Watts/meter/degree Kelvin;15.8;Kelvin;1814;Angstroms;1.44;kilojoules/mole;304.8;kilojoules/mole;16.11;
Selenium;78.96;34;-2, 4, 6;Kelvin;958;Se;grams/cubic centimeter;4.79;[Ar] 3d10 4s2 p4;2.55;Angstroms;1.4;cubic centimeters/mole;16.5;Joules/gram/degree Kelvin;0.32;9.752;Watts/meter/degree Kelvin;2.04;Kelvin;494;Angstroms;1.16;kilojoules/mole;26.32;kilojoules/mole;5.54;
Seaborgium;263;106;;;;Sg;;;[Rn] 5f14 6d4 7s2;;;;;;;;;;;;;;;;;;;
